metric,k,result
manhattan,1,0.9053333333333334
manhattan,3,0.9233333333333332
manhattan,5,0.9256666666666666
manhattan,7,0.9283333333333333
manhattan,9,0.9333333333333333
manhattan,11,0.9280000000000002
manhattan,13,0.929
euclidean,1,0.9073333333333334
euclidean,3,0.922
euclidean,5,0.923
euclidean,7,0.9303333333333332
euclidean,9,0.929
euclidean,11,0.929
euclidean,13,0.9266666666666665
chebyshev,1,0.9113333333333333
chebyshev,3,0.9213333333333333
chebyshev,5,0.9216666666666666
chebyshev,7,0.9253333333333333
chebyshev,9,0.9276666666666668
chebyshev,11,0.9306666666666666
chebyshev,13,0.93
minkowski1.5,1,0.9069999999999998
minkowski1.5,3,0.9236666666666666
minkowski1.5,5,0.9253333333333333
minkowski1.5,7,0.9289999999999999
minkowski1.5,9,0.9306666666666666
minkowski1.5,11,0.9279999999999999
minkowski1.5,13,0.9263333333333333
minkowski3.0,1,0.909
minkowski3.0,3,0.9209999999999999
minkowski3.0,5,0.923
minkowski3.0,7,0.9299999999999999
minkowski3.0,9,0.9296666666666666
minkowski3.0,11,0.9296666666666666
minkowski3.0,13,0.9296666666666666
